Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda,Entrega compilada:Contratos:Implementación:Fecha de fin
ocds-dgv273-seacev3-2025-1908-36,ocds-dgv273-seacev3-2025-1908-36-2026-05-31T10:14:37.886948-05:00,2331358,1097641-10440633868,023-2025-UNSA,"CONTRATACIÓN DE SUMINISTRO DE BIENES CON FICHA TÉCNICA: PRODUCTOS SECOS, FRUTAS, VERDURAS, TUBÉRCULOS, CÁRNICOS E HIDROBIOLÓGICOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO. PERÍODO ACADÉMICO 2025. ITEM 2: VERDURAS",2025-06-16T00:00:00-05:00,2025-12-31T00:00:00-05:00,198,125870.0,PEN,Soles,2025-06-16T00:00:00-05:00,157337.5,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-36,ocds-dgv273-seacev3-2025-1908-36-2026-05-31T10:14:37.886948-05:00,2331357,1097641-10440633868,022-2025-UNSA,"CONTRATACIÓN DE SUMINISTRO DE BIENES CON FICHA TÉCNICA: PRODUCTOS SECOS, FRUTAS, VERDURAS, TUBÉRCULOS, CÁRNICOS E HIDROBIOLÓGICOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO. PERÍODO ACADÉMICO 2025, ITEM 1: FRUTAS",2025-06-16T00:00:00-05:00,2025-12-31T00:00:00-05:00,198,474275.0,PEN,Soles,2025-06-16T00:00:00-05:00,592843.75,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-36,ocds-dgv273-seacev3-2025-1908-36-2026-05-31T10:14:37.886948-05:00,2333287,1097641-20608490541,025-2025-UNSA,"CONTRATACIÓN DE SUMINISTRO DE BIENES CON FICHA TÉCNICA: PRODUCTOS SECOS, FRUTAS, VERDURAS, TUBÉRCULOS, CÁRNICOS E HIDROBIOLÓGICOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO. PERÍODO ACADÉMICO 2025.ITEM 5",2025-06-18T00:00:00-05:00,2025-12-31T00:00:00-05:00,196,935749.8,PEN,Soles,2025-06-17T00:00:00-05:00,1216474.74,PEN,Soles,
ocds-dgv273-seacev3-2025-2407-145,ocds-dgv273-seacev3-2025-2407-145-2026-05-31T10:14:18.964201-05:00,2335808,1103315-1683011,080-2025,"CONSTRUCCIÓN DE LINEA PRIMARIA; RENOVACIÓN DE RED PRIMEARIA; EN EL(LA) LOS ALIMENTADORES CP03 Y AN04 CON INTERCONEXIÓN DESDE QUEROBAMBA HASTA PALLCCA EN LA PROVINCIA DE SUCRE DEPARTAMENTO DE AYACUCHO Y LA PROVINCIA DE ANDAHUAYLAS, DISTRITO DE SORAYA, PROVINCIA AYMARAES, DEPARTAMENTO APURÍMAC",2025-06-28T00:00:00-05:00,2026-04-23T00:00:00-05:00,299,10785649.3,PEN,Soles,2025-06-27T00:00:00-05:00,,,,2026-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-46-191,ocds-dgv273-seacev3-2025-46-191-2026-05-31T10:14:18.948630-05:00,2323979,1102711-20533210385,Contrato  016-2025-GRM,"ADQUISICION DE CONCRETO PREMEZCLADO F´C =210 KG/CM2 CEM TIPO IP (INCL. SERVICIO DE BOMBEO) PARA EL PROYECTO: MEJORAMIENTO DEL SERVICIO DE PROTECCIÓN RIVEREÑA DE LOS RIOS TUMILACA Y MOQUEGUA ¿ TRAMO II (PUENTE TUCUMAN AL PUENTE MONTALVO) EN LOS DISTRITOS DE MOQUEGUA Y SAMEGUA, PROVINCIA DE MARISCAL NIETO, DEPARTAMENTO DE MOQUEGUA.",2025-05-07T00:00:00-05:00,2025-09-23T00:00:00-05:00,139,2953720.0,PEN,Soles,2025-05-06T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1054-4,ocds-dgv273-seacev3-2025-1054-4-2026-05-31T10:14:18.797669-05:00,2323002,1097125-1656370,CONTRATO DE CONSULTORIA DE OBRA N 027-2025-MDVA/GMA,"CONTRATO DE CONSULTORÍA DE OBRA: SUPERVISIÓN DE LA OBRA: ""CREACIÓN DE LOS SERVICIOS DE PROTECCIÓN EN LA RIBERA DE LAS QUEBRADAS VULNERABLES ANTE EL PELIGRO EN MURO DE CONTENCIÓN EN EL AA.HH. DE LA RESIDENCIAL VIRGEN DE CHAPI DISTRITO DE VISTA ALEGRE, PROVINCIA DE NASCA DEL DEPARTAMENTO DE ICA"" CUI N° 2607377.",2025-04-07T00:00:00-05:00,2025-08-05T00:00:00-05:00,120,106040.74,PEN,Soles,2025-04-04T00:00:00-05:00,113463.59000000001,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-200578-18,ocds-dgv273-seacev3-2025-200578-18-2026-05-30T10:23:08.374431-05:00,2342167,1102860-1680507,08-2025,CONTRATO N 008-2025-GOBIERNO REGIONAL/UE.PROAMAZONAS/UADML AMAZONAS,2025-08-21T00:00:00-05:00,2026-08-15T00:00:00-05:00,359,13590000.0,PEN,Soles,2025-06-25T00:00:00-05:00,14401460.36,PEN,Soles,2026-10-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-422-1,ocds-dgv273-seacev3-2025-422-1-2026-05-30T10:22:59.357863-05:00,2327281,1100764-20608171704,008-2025-MDY,"ADQUISICION DE SUMINISTRO DE COMBUSTIBLE (DIESEL B5 S-50 Y GASOHOL REGULAR) PARA LAS DIFERENTES UNIDADES VEHICULARES DE LA MUNICIPALIDAD DISTRITAL DE YURA, PROVINCIA DE AREQUIPA, DEPARTAMENTO DE AREQUIPA.",2025-05-06T00:00:00-05:00,2026-04-30T00:00:00-05:00,359,539998.0,PEN,Soles,2025-05-05T00:00:00-05:00,639345.5,PEN,Soles,2026-05-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-692-3,ocds-dgv273-seacev3-2025-692-3-2026-05-30T10:22:15.411591-05:00,2322352,1096078-1656025,017-2025,CONTRATO DE EJECUCION DE OBRA,2025-05-12T00:00:00-05:00,2025-08-10T00:00:00-05:00,90,1273930.31,PEN,Soles,2025-04-15T00:00:00-05:00,1354017.87,PEN,Soles,
ocds-dgv273-seacev3-2025-2408-88,ocds-dgv273-seacev3-2025-2408-88-2026-05-30T10:21:53.399054-05:00,2332078,1100249-1661728,N° ES-C-020-2025,SERVICIO DE MANTENIMIENTO Y EMERGENCIA ILO,2025-06-03T00:00:00-05:00,2026-06-03T00:00:00-05:00,365,2383984.14,PEN,Soles,2025-05-14T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-234-1,ocds-dgv273-seacev3-2025-234-1-2026-05-29T10:32:41.207497-05:00,2329752,1096887-1666251,005-2025-MDSC/GM,"ejecución de la Obra: ¿MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE RURAL EN LA LOCALIDAD DE HUARIPAMPADEL DISTRITO DE SANTA CRUZ DE LA PROVINCIA DE HUAYLAS DEL DEPARTAMENTO DE ANCASH ¿ 1° ETAPA¿, CON CUI: 2601455",2025-05-20T00:00:00-05:00,2025-08-20T00:00:00-05:00,92,886271.45,PEN,Soles,2025-05-19T00:00:00-05:00,934384.99,PEN,Soles,
ocds-dgv273-seacev3-2025-200500-3,ocds-dgv273-seacev3-2025-200500-3-2026-05-29T10:32:08.197508-05:00,2319142,1095449-20602627048,002-2025-MP-FN-GA-LL,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LAS UNIDADES VEHICULARES DEL MINISTERIO PÚBLICO DISTRITO FISCAL DE LA LIBERTAD,2025-04-09T00:00:00-05:00,2026-04-08T00:00:00-05:00,364,109450.0,PEN,Soles,2025-04-08T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-200039-12,ocds-dgv273-seacev3-2025-200039-12-2026-05-29T10:32:08.180143-05:00,2321688,1096516-1656492,CONTRATO N° 008-2025-GRA-SRP-G,"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO DEL PROYECTO: MEJORAMIENTO Y RECONSTRUCCIÓN DE LA INFRAESTRUCTURA EDUCATIVA EN LA I.E. N 88094 DEL C.P. DE CANCHAS DISTRITO DE CÁCERES DEL PERÚ, PROVINCIA DEL SANTA, ANCASH-SALDO DE OBRA - CUI N° 2232405",2025-04-22T00:00:00-05:00,2025-06-21T00:00:00-05:00,60,99172.8,PEN,Soles,2025-04-22T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-234-5,ocds-dgv273-seacev3-2025-234-5-2026-05-29T10:31:57.456736-05:00,2324807,1101519-1664677,004-2025-MDSC/GM,"del servicio de consultoría de obra para la Supervisión de Obra  : ""CREACION DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL SECTOR CAMPANACOTO DEL DE CENTRO POBLADO TZACTZA DISTRITO DE SANTA CRUZ DE LA PROVINCIA DE HUAYLAS DEL DEPARTAMENTO DE ANCASH"" CON CUI N° 2604269",2025-05-01T00:00:00-05:00,2025-10-31T00:00:00-05:00,183,125591.4,PEN,Soles,2025-04-30T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-200360-9,ocds-dgv273-seacev3-2025-200360-9-2026-05-29T10:31:57.420022-05:00,2376370,1103718-20601314607,N° 008-2025-I.V.P.AYABACA/G.G,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO RUTINARIO DEL CAMINO VECINAL NO PAVIMENTADO, RUTA: PI 779, TRAMO: HUAYABAL (KM 22+104) CHECCHES HUASIQUE DE GERALDO GERALDO EMP PI-708 (NUEVO GERALDO) (KM 32+938),DISTRITO DE FRIAS,PROVINCIA DE AYABACA,DEPARTAMENTO DE PIURA",2025-05-15T00:00:00-05:00,2026-01-10T00:00:00-05:00,240,69771.0,PEN,Soles,2025-05-14T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1120772,ocds-dgv273-seacev3-1120772-2026-05-29T10:31:47.170277-05:00,2378940,1120772-1688991,Nº006-2025-I.V.P.AYABACA/G.G.,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO RUTINARIO DEL CAMINO VECINAL NO PAVIMENTADO, RUTA: PI-602, TRAMO: EMP. PE-1NL (EL GUINEO) JAHUAY NEGRO LOS PEROLES EMP. PI-598 (KM 12+360), DISTRITO DE SUYO, PROVINCIA DE AYABACA DEPARTAMENTO DE PIURA.",2025-06-04T00:00:00-05:00,2026-01-15T00:00:00-05:00,225,79598.0,PEN,Soles,2025-06-03T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-200360-8,ocds-dgv273-seacev3-2025-200360-8-2026-05-29T10:31:35.306402-05:00,2376517,1103705-1665260,N° 005-2025-I.V.P.AYABACA/G.G,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO RUTINARIO DEL CAMINO VECINAL NO PAVIMENTADO, RUTA: PI-647, TRAMO: TOMAPAMPA DE QUIROZ (KM 11+650) TOMAPAMPA DE CARDAL NUEVO TOMAPAMPA TOMAPAMPA DE JAMBUR JAMBUR (KM 28+740), DISTRITO DE PAIMAS, PROVINCIA DE AYABACA DEPARTAMENTO DE PIURA",2025-05-14T00:00:00-05:00,2026-01-09T00:00:00-05:00,240,110060.0,PEN,Soles,2025-05-13T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-49-228,ocds-dgv273-seacev3-2025-49-228-2026-05-29T10:31:35.168355-05:00,2325556,1101639-20511037001,CONTRATO N° 43-2025-SIE-GR PUNO,ADQUISICION DE CEMENTO PORTLAND TIPO IP,2025-05-15T00:00:00-05:00,2025-08-13T00:00:00-05:00,90,372113.0,PEN,Soles,2025-05-14T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1491-1,ocds-dgv273-seacev3-2025-1491-1-2026-05-28T10:20:39.447447-05:00,2322933,1101789-20600571916,001-2025-MDB/GM,CONTRATACION DE SUMINISTRO DE BIENES PARA LA ADQUISICION DE ALIMENTOS PARA EL PROGRAMA VASO DE LECHE ABRIL A DICIEMBRE EJERCICIO FISCAL 2025,2025-05-22T00:00:00-05:00,2025-12-31T00:00:00-05:00,223,293965.4,PEN,Soles,2025-04-21T00:00:00-05:00,353864.80000000005,PEN,Soles,
ocds-dgv273-seacev3-1097347,ocds-dgv273-seacev3-1097347-2026-05-28T10:20:39.233816-05:00,2323782,1097347-10445457332,CONTRATO N° 005-2025-VIII DIRTEPOL-HUANCAYO,CONTRATACIÓN DEL SERVICIO DE CONCESIÓN DE ALIMENTOS PARA EL PERSONAL PNP (OFICIALES Y SUB OFICIALES PNP) DE LA COMISARIA PNP JAUJA - REGIÓN POLICIAL JUNIN.,2025-05-03T00:00:00-05:00,2026-05-02T00:00:00-05:00,364,237500.2,PEN,Soles,2025-04-30T00:00:00-05:00,262252.2,PEN,Soles,
ocds-dgv273-seacev3-2025-200269-8,ocds-dgv273-seacev3-2025-200269-8-2026-05-28T10:20:29.280564-05:00,2325745,1103444-20564428478,CONTRATO N° 008-2025/GRSC-RSSCS/AS.02,CONTRATACIÓN DE SERVICIO DE ACCESO A INTERNET (DEDICADO) PARA LAS IPRESS DE LA RED DE SERVICIOS DE SALUD CUSCO SUR,2025-05-17T00:00:00-05:00,2026-03-17T00:00:00-05:00,304,313405.9,PEN,Soles,2025-05-16T00:00:00-05:00,344746.49000000005,PEN,Soles,
ocds-dgv273-seacev3-2025-24-2,ocds-dgv273-seacev3-2025-24-2-2026-05-28T10:20:28.999661-05:00,2318271,1094589-20601758513,CONTRATO N 050-2025-MTC/10.02,CONTRATACIÓN DEL SERVICIO DE ALQUILER DE UN SERVIDOR PARA EL SISTEMA ELLIPSE DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONES,2025-04-11T00:00:00-05:00,2025-05-30T00:00:00-05:00,49,83200.0,PEN,Soles,2025-04-07T00:00:00-05:00,103016.77,PEN,Soles,2026-04-08T00:00:00-05:00
ocds-dgv273-seacev3-2025-43-69,ocds-dgv273-seacev3-2025-43-69-2026-05-28T10:20:08.855449-05:00,2343321,1103166-20529635673,CONTRATO DE OBRA N°016_2025-GR.LAMB/ORAD,CONTRATACION DE LA EJECUCION DE OBRA DEL PROYECTO DE INVERSION PUBLICA DENOMINADO: CREACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO BASICO EN EL CASERIO EL SAUCE DISTRITO DE MOTUPE - PROVINCIA DE LAMBAYEQUE DEPARTAMENTO DE LAMBAYEQUE CON CODIGO UNICO DE INVERSIONES N 2229545,2025-08-23T00:00:00-05:00,2025-12-21T00:00:00-05:00,120,3034440.37,PEN,Soles,2025-08-22T00:00:00-05:00,3365854.0,PEN,Soles,
ocds-dgv273-seacev3-2025-21-3,ocds-dgv273-seacev3-2025-21-3-2026-05-28T10:20:08.839814-05:00,2333685,1098424-20418896915,Contrato N° 0039-2025-RE-1,Contratación del servicio de pólizas de seguros patrimoniales del Ministerio de Relaciones Exteriores,2025-07-06T00:00:00-05:00,2026-07-06T00:00:00-05:00,365,279393.36,USD,Dólar Norteamericano,2025-06-20T00:00:00-05:00,273604.72,USD,Dólar Norteamericano,
ocds-dgv273-seacev3-2025-67832-9,ocds-dgv273-seacev3-2025-67832-9-2026-05-28T10:19:46.306874-05:00,2324534,1101078-20604508836,3,CONTRATO PARA EL SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE CENTRAL Y ADMINISTRATIVA DEL INSTITUTO NACIONAL DE INVESTIGACIÓN EN GLACIARES Y ECOSISTEMAS DE MONTAÑA ¿ INAIGEM,2025-05-13T00:00:00-05:00,2026-05-13T00:00:00-05:00,365,157079.76,PEN,Soles,2025-05-08T00:00:00-05:00,183259.72,PEN,Soles,
ocds-dgv273-seacev3-2025-1325-11,ocds-dgv273-seacev3-2025-1325-11-2026-05-28T10:19:46.242699-05:00,2323414,1099540-20467305931,003-2025-OGAF/MDL,SERVICIO DE COMUNICACIÓN DE RADIO TRONCALIZADO DIGITAL Y GPS CON ALQUILER DE EQUIPOS PARA SEGURIDAD CIUDADANA Y ATENCIÓN A SITUACIONES DE EMERGENCIA,2025-04-22T00:00:00-05:00,2026-05-31T00:00:00-05:00,404,246950.4,PEN,Soles,2025-04-21T00:00:00-05:00,267529.6,PEN,Soles,
ocds-dgv273-seacev3-2025-1952-77,ocds-dgv273-seacev3-2025-1952-77-2026-05-28T10:19:24.205564-05:00,2318633,1106908-10478500322,051-2025-OSCE-OAD-PBID,Especialista en arquitectura de infraestructura tecnológica para los proyectos vinculados al desarrollo de la nueva plataforma para la contratación pública,2025-03-17T00:00:00-05:00,2025-06-16T00:00:00-05:00,91,36000.0,PEN,Soles,2025-03-14T00:00:00-05:00,,,,2025-08-17T00:00:00-05:00
ocds-dgv273-seacev3-1102076,ocds-dgv273-seacev3-1102076-2026-05-28T10:19:24.141398-05:00,2324945,1102076-20523470761,004-2025-OGAF/MDL,SERVICIO DE SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO ¿ SCTR PARA EL PERSONAL QUE REALIZA TRABAJOS DE RIESGO DE LA MUNICIPALIDAD DISTRITAL DE LURÍN ¿ 2025 - SALUD,2025-05-01T00:00:00-05:00,2026-05-01T00:00:00-05:00,365,110456.36,PEN,Soles,2025-04-30T00:00:00-05:00,119661.05,PEN,Soles,
ocds-dgv273-seacev3-2025-1756-38,ocds-dgv273-seacev3-2025-1756-38-2026-05-28T10:19:24.029069-05:00,2319606,1097548-20608461371,071-2025-MPM,Suministro de Gasolina Regular para las unidades móviles de la Municipalidad Provincial de Moyobamba,2025-04-05T00:00:00-05:00,2026-04-04T00:00:00-05:00,364,185384.17,PEN,Soles,2025-04-04T00:00:00-05:00,186782.17,PEN,Soles,
ocds-dgv273-seacev3-2025-1209-67,ocds-dgv273-seacev3-2025-1209-67-2026-05-27T10:39:31.898215-05:00,2329250,1099050-20559561976,CEO 005-2025-MPSC/SG-LOG,"MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL SAN JOSÉ DE YAMOGÓN, CASERIO PASHAGON DEL DISTRITO DE HUAMACHUCO - PROVINCIA DE SANCHEZ CARRION - DEPARTAMENTO DE LA LIBERTAD con CUI.2535896",2025-06-05T00:00:00-05:00,2025-09-03T00:00:00-05:00,90,698909.09,PEN,Soles,2025-05-23T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-42-46,ocds-dgv273-seacev3-2025-42-46-2026-05-27T10:39:20.634556-05:00,2330517,1098370-1672987,40-2025-GRLL-GRCO,"CONTRATACION DE LA EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE SALUD DEL HOSPITAL PROVINCIAL DE VIRÚ, DISTRITO VIRÚ, PROVINCIA DE VIRÚ, REGIÓN LA LIBERTAD",2025-06-12T00:00:00-05:00,2027-06-30T00:00:00-05:00,748,194104580.82,PEN,Soles,2025-06-11T00:00:00-05:00,197483919.14,PEN,Soles,2027-06-30T00:00:00-05:00
